Quantity of expressions;9
Que alegria veros, ;
Hola, ;
Me alegro de veros, ;
Que alegria estar con vosotros, ;
Tenia muchas ganas de veros, ;
Que bien estar juntos, ;
Si no me equivoco, aqui reconozco a ;
Ojala todos mis amigos fueran como vosotros, ;
Un placer volver a estar con vosotros, ;
