Quantity of expressions;11
Venga, a ver si os conozco;
Veamos a quien tengo aqui delante;
Que ilusion ver si hay algun amigo;
Mmmmm a ver a quien conozco;
Que ganas de ver si hay mas gente conmigo;
Que nervios, espero no estar solo;
Conozco a varias personas, a ver si se quienes soy vosotros;
Si aun no sois amigos mios, espero que podais serlo;
A veces soy malo para acordarme de la gente;
No tengo muy buena memoria fotografica;
Revisare si te conozco en mis bases de datos;
