es un cabron
me cae como el culo
es un idiota
es bastante gilipollas
me cae bastante mal
es alguien al que no soporto
es el que siempre decis que es idiota
es insoportable
es todo majo
es un crack
es un puto borracho
es nombre de tonto
es tonto y bastante feo ademas
es feo como pegar a un padre pero me parece majo
